,NOC,duration,event,total_appearances,total_athletes,unique_events,unique_sports,athletes_per_games,events_per_games,last_HHI,last_athletes_count,last_unique_events,last_unique_sports,last_female_ratio,last_veteran_ratio,athlete_per_event,athlete_growth_rate,event_growth_rate,historical_events_per_athlete
26,MON,27,0,23,77,63,16,3.347826086956522,2.739130434782609,0.16666666666666669,6,6,6,0.5,0.5,1.0,0.5291683064410336,0.36917388167388177,1.4025974025974026
27,ANT,13,0,12,77,48,6,6.416666666666667,4.0,0.20000000000000004,5,5,3,0.4,0.4,1.0,0.05626040626040627,-0.015422448521238278,1.5194805194805194
28,MDV,10,0,10,37,23,4,3.7,2.3,0.28,5,4,4,0.6,0.2,1.25,-0.01957671957671958,0.007407407407407418,1.4054054054054055
29,LIE,23,0,19,56,53,10,2.9473684210526314,2.789473684210526,1.0,1,1,1,0.0,0.0,1.0,0.15833333333333335,0.44058241141574467,1.5892857142857142
30,CHA,16,0,14,31,24,4,2.2142857142857144,1.7142857142857142,0.3333333333333333,3,3,3,0.3333333333333333,0.3333333333333333,1.0,0.1346153846153846,0.1465201465201465,1.2258064516129032
31,BOL,23,0,16,85,67,15,5.3125,4.1875,0.25,4,4,2,0.5,0.0,1.0,0.3885653235653236,0.3168446368446368,1.3647058823529412
32,BIZ,15,0,14,55,33,8,3.9285714285714284,2.357142857142857,1.0,1,1,1,0.0,1.0,1.0,0.21425241425241423,0.05732600732600731,1.3454545454545455
33,GBS,8,0,8,21,21,5,2.625,2.625,0.16666666666666669,6,6,5,0.0,0.3333333333333333,1.0,0.1261904761904762,0.1261904761904762,1.1428571428571428
34,BEN,14,0,13,62,44,9,4.769230769230769,3.3846153846153846,0.20000000000000004,5,5,3,0.4,0.4,1.0,0.3896329365079365,0.4192693744164333,1.1935483870967742
35,GUM,10,0,10,75,70,12,7.5,7.0,0.1111111111111111,7,9,6,0.8888888888888888,0.2857142857142857,0.7777777777777778,-0.019300777195514054,0.02529661696328362,1.48
36,PLW,7,0,7,27,18,6,3.857142857142857,2.5714285714285716,0.3333333333333333,3,3,2,0.6666666666666666,0.0,1.0,-0.05833333333333333,-0.041666666666666664,1.037037037037037
37,IVB,11,0,11,31,23,3,2.8181818181818183,2.090909090909091,0.25,4,4,2,0.25,0.25,1.0,0.16428571428571426,0.18547619047619046,1.4193548387096775
38,AND,13,0,13,36,33,9,2.769230769230769,2.5384615384615383,0.25,2,4,2,0.75,0.5,0.5,0.07152777777777779,0.1886904761904762,1.25
39,GUI,15,0,13,86,43,8,6.615384615384615,3.3076923076923075,0.5872000000000003,25,7,5,0.2,0.0,3.5714285714285716,0.677414021164021,1.2243867243867246,1.127906976744186
40,ESA,24,0,14,137,101,16,9.785714285714286,7.214285714285714,0.1111111111111111,8,9,7,0.1111111111111111,0.25,0.8888888888888888,4.518431568431568,3.5866577866577862,1.5401459854014599
41,SOL,11,0,11,23,21,6,2.090909090909091,1.9090909090909092,0.5,2,2,2,1.0,0.5,1.0,0.23333333333333325,0.26166666666666666,1.173913043478261
42,COK,10,0,10,36,34,8,3.6,3.4,0.5,2,2,2,0.5,0.5,1.0,0.0456349206349206,0.08024691358024687,1.1944444444444444
43,RWA,11,0,11,48,30,6,4.363636363636363,2.727272727272727,0.125,7,8,4,0.625,0.0,0.875,0.1980952380952381,0.0923809523809524,1.2708333333333333
44,ANG,12,0,11,188,68,12,17.09090909090909,6.181818181818182,0.35502958579881644,25,10,7,0.6538461538461539,0.48,2.5,0.13249396436896435,0.07932539682539684,1.2340425531914894
45,MLT,25,0,18,86,52,11,4.777777777777778,2.888888888888889,0.20000000000000004,5,5,4,0.4,0.4,1.0,0.6878172481113659,0.4450280112044818,1.302325581395349
46,EOR,2,0,2,58,54,14,29.0,27.0,0.03822314049586775,37,39,13,0.36363636363636365,0.21621621621621623,0.9487179487179487,0.27586206896551735,0.30000000000000004,1.2413793103448276
47,TUV,5,0,5,9,6,2,1.8,1.2,0.5,2,2,1,0.5,0.5,1.0,0.08333333333333331,0.08333333333333331,1.0
48,SOM,14,0,11,22,13,2,2.0,1.1818181818181819,1.0,1,1,1,0.0,1.0,1.0,-0.015238095238095217,-0.08333333333333334,1.4090909090909092
49,LBR,18,0,14,49,26,2,3.5,1.8571428571428572,0.32000000000000006,8,5,1,0.3,0.375,1.6,0.4308608058608058,0.22289377289377293,1.510204081632653
50,SLE,15,0,13,69,40,6,5.3076923076923075,3.076923076923077,0.25,4,4,3,0.75,0.25,1.0,0.34316378066378067,0.2943452380952381,1.6231884057971016
51,BRU,8,0,7,14,13,4,2.0,1.8571428571428572,0.3333333333333333,3,3,2,0.3333333333333333,0.0,1.0,0.4444444444444444,0.4444444444444444,1.0
52,MAD,16,0,14,88,65,9,6.285714285714286,4.642857142857143,0.14285714285714285,7,7,5,0.5714285714285714,0.0,1.0,0.2039831962908886,0.203968253968254,1.2272727272727273
53,CAF,15,0,12,56,36,9,4.666666666666667,3.0,0.25,4,4,3,0.5,0.0,1.0,0.5772727272727273,0.5147727272727273,1.125
54,NEP,16,0,15,87,50,10,5.8,3.3333333333333335,0.18367346938775508,7,6,6,0.5714285714285714,0.14285714285714285,1.1666666666666667,0.7188775510204082,0.688392023476057,1.0689655172413792
55,HON,15,0,13,159,71,12,12.23076923076923,5.461538461538462,0.25,4,4,3,0.25,0.5,1.0,0.4943781151752166,0.6762103174603175,1.270440251572327
56,PNG,13,0,12,71,61,8,5.916666666666667,5.083333333333333,0.14285714285714285,7,7,5,0.2857142857142857,0.2857142857142857,1.0,0.07167907849726032,0.03841827364554637,1.4507042253521127
57,PLE,8,0,8,32,29,8,4.0,3.625,0.125,8,8,6,0.25,0.125,1.0,0.3880952380952381,0.3880952380952381,1.0625
58,BIH,9,0,9,52,49,10,5.777777777777778,5.444444444444445,0.16666666666666669,5,6,3,0.6666666666666666,0.6,0.8333333333333334,-0.020057720057720066,-0.07679612054612053,1.1923076923076923
59,MYA,20,0,19,87,54,12,4.578947368421052,2.8421052631578947,0.5,2,2,2,0.5,0.5,1.0,0.34589381207028264,0.3032427449094116,1.1264367816091954
60,NCA,15,0,14,106,79,12,7.571428571428571,5.642857142857143,0.14285714285714285,7,7,6,0.8571428571428571,0.42857142857142855,1.0,0.17248251748251747,0.039584538268748796,1.2452830188679245
61,GEQ,11,0,11,32,19,3,2.909090909090909,1.7272727272727273,0.3333333333333333,3,3,2,0.3333333333333333,0.0,1.0,0.13476190476190478,0.11345238095238094,1.25
62,LAO,12,0,11,52,31,8,4.7272727272727275,2.8181818181818183,0.25,4,4,3,0.75,0.25,1.0,0.027456140350877224,0.09898809523809529,1.0961538461538463
63,ASA,10,0,10,34,30,8,3.4,3.0,0.5,2,2,2,0.5,0.5,1.0,0.03571428571428571,-0.01111111111111112,1.088235294117647
64,COD,15,0,12,81,50,8,6.75,4.166666666666667,0.16666666666666669,6,6,4,0.5,0.16666666666666666,1.0,0.20289661319073085,0.43030303030303024,1.2222222222222223
65,SSD,3,0,3,17,8,2,5.666666666666667,2.6666666666666665,0.7448979591836733,14,3,2,0.07142857142857142,0.14285714285714285,4.666666666666667,2.8333333333333335,0.08333333333333331,1.1176470588235294
66,NRU,8,0,8,13,11,3,1.625,1.375,1.0,1,1,1,0.0,0.0,1.0,-1.586032892321652e-17,-1.586032892321652e-17,1.0769230769230769
