,NOC,Year,duration,event,veteran_ratio,HHI,total_appearances,total_athletes,unique_events,unique_sports,athletes_per_games,events_per_games,female_ratio,athlete_growth,athlete_growth_last,events_per_athlete
26,MAR,1960,0,1,0.0,0.034818602386169954,1,47,45,10,47.0,45.0,0.0,0.0,0.0,2.3617021276595747
27,ESP,1900,0,1,0.0,0.23611111111111113,1,9,7,4,9.0,7.0,0.0,0.0,0.0,1.3333333333333333
28,EGY,1906,0,0,0.0,0.20000000000000004,1,2,5,3,2.0,5.0,0.0,0.0,0.0,2.5
29,EGY,1908,0,0,0.0,0.0,1,2,5,3,2.0,5.0,0.0,0.0,0.0,2.5
30,EGY,1912,1,0,0.0,0.0,1,2,5,3,2.0,5.0,0.0,0.0,0.0,2.5
31,EGY,1920,3,0,0.0,0.2768595041322313,2,20,15,7,10.0,7.5,0.0,8.0,8.0,1.35
32,EGY,1924,4,0,0.375,0.2022222222222223,3,35,22,10,11.666666666666666,7.333333333333333,0.0,11.0,0.3333333333333333,1.3428571428571427
33,EGY,1928,5,1,0.25,0.1833423472147106,4,59,31,11,14.75,7.75,0.0,15.0,0.3333333333333333,1.4067796610169492
34,IRI,1900,0,0,0.0,1.0,1,1,1,1,1.0,1.0,0.0,0.0,0.0,1.0
35,IRI,1904,1,0,0.0,0.0,1,1,1,1,1.0,1.0,0.0,0.0,0.0,1.0
36,IRI,1906,1,0,0.0,0.0,1,1,1,1,1.0,1.0,0.0,0.0,0.0,1.0
37,IRI,1908,2,0,0.0,0.0,1,1,1,1,1.0,1.0,0.0,0.0,0.0,1.0
38,IRI,1912,3,0,0.0,0.0,1,1,1,1,1.0,1.0,0.0,0.0,0.0,1.0
39,IRI,1920,5,0,0.0,0.0,1,1,1,1,1.0,1.0,0.0,0.0,0.0,1.0
40,IRI,1924,6,0,0.0,0.0,1,1,1,1,1.0,1.0,0.0,0.0,0.0,1.0
41,IRI,1928,7,0,0.0,0.0,1,1,1,1,1.0,1.0,0.0,0.0,0.0,1.0
42,IRI,1932,8,0,0.0,0.0,1,1,1,1,1.0,1.0,0.0,0.0,0.0,1.0
43,IRI,1936,9,0,0.0,0.0,1,1,1,1,1.0,1.0,0.0,0.0,0.0,1.0
44,IRI,1948,12,1,0.0,0.1360946745562131,2,37,24,6,18.5,12.0,0.0,35.0,35.0,1.0810810810810811
45,BUL,1924,0,0,0.0,0.17793964620187303,1,24,12,4,24.0,12.0,0.0,0.0,0.0,1.2916666666666667
46,BUL,1928,1,0,0.4,0.24000000000000002,2,27,15,5,13.5,7.5,0.0,-0.7916666666666666,-0.7916666666666666,1.4074074074074074
47,BUL,1932,2,0,0.0,1.0,3,29,16,6,9.666666666666666,5.333333333333333,0.0,-0.9166666666666666,-0.6,1.3793103448275863
48,BUL,1936,3,0,0.07692307692307693,0.06574394463667818,4,53,31,8,13.25,7.75,0.0,0.08333333333333333,12.0,2.2641509433962264
49,BUL,1948,6,0,0.0,0.0,4,53,31,8,13.25,7.75,0.0,0.08333333333333333,12.0,2.2641509433962264
50,BUL,1952,7,1,0.0,0.04266408663899379,5,116,50,10,23.2,10.0,0.18892508143322476,1.625,1.4230769230769231,2.5775862068965516
51,ITA,1896,0,0,0.0,1.0,1,1,1,1,1.0,1.0,0.0,0.0,0.0,1.0
52,ITA,1900,1,1,0.0,0.08950617283950618,2,24,18,7,12.0,9.0,0.02702702702702703,22.0,22.0,1.5
53,CHA,1964,0,0,0.0,0.5,1,2,2,1,2.0,2.0,0.0,0.0,0.0,1.0
54,CHA,1968,1,0,0.6666666666666666,0.375,2,3,3,1,1.5,1.5,0.0,0.5,0.5,1.3333333333333333
55,CHA,1972,2,0,0.25,0.28,3,6,6,2,2.0,2.0,0.0,1.0,0.3333333333333333,1.3333333333333333
56,CHA,1976,3,0,0.0,0.0,3,6,6,2,2.0,2.0,0.0,1.0,0.3333333333333333,1.3333333333333333
57,CHA,1980,4,0,0.0,0.0,3,6,6,2,2.0,2.0,0.0,1.0,0.3333333333333333,1.3333333333333333
58,CHA,1984,5,0,0.0,0.3333333333333333,4,9,8,2,2.25,2.0,0.0,0.5,-0.25,1.2222222222222223
59,CHA,1988,6,0,0.0,0.16666666666666669,5,15,10,2,3.0,2.0,0.0,2.0,1.0,1.1333333333333333
60,CHA,1992,7,0,0.3333333333333333,0.14285714285714285,6,19,14,3,3.1666666666666665,2.3333333333333335,0.07407407407407407,2.0,0.0,1.2105263157894737
61,CHA,1996,8,0,0.25,0.25,7,22,15,3,3.142857142857143,2.142857142857143,0.0967741935483871,1.0,-0.3333333333333333,1.1818181818181819
69,AZE,1996,0,1,0.0,0.045138888888888895,1,23,23,9,23.0,23.0,0.16666666666666666,0.0,0.0,1.0434782608695652
70,SUD,1960,0,0,0.0,0.1124260355029586,1,10,10,4,10.0,10.0,0.0,0.0,0.0,1.3
71,SUD,1964,1,0,0.0,0.0,1,10,10,4,10.0,10.0,0.0,0.0,0.0,1.3
72,SUD,1968,2,0,0.2,0.14285714285714285,2,14,15,4,7.0,7.5,0.0,-0.5,-0.5,1.4285714285714286
73,SUD,1972,3,0,0.07692307692307693,0.23413111342351708,3,38,23,5,12.666666666666666,7.666666666666667,0.0,1.6,4.2,1.2894736842105263
74,SUD,1976,4,0,0.0,0.0,3,38,23,5,12.666666666666666,7.666666666666667,0.0,1.6,4.2,1.2894736842105263
75,SUD,1980,5,0,0.0,0.0,3,38,23,5,12.666666666666666,7.666666666666667,0.0,1.6,4.2,1.2894736842105263
76,SUD,1984,6,0,0.0,0.1111111111111111,4,45,25,5,11.25,6.25,0.0,-0.3,-0.7307692307692307,1.288888888888889
77,SUD,1988,7,0,0.375,0.125,5,50,27,5,10.0,5.4,0.0,-0.2,0.14285714285714285,1.28
78,SUD,1992,8,0,0.0,0.14285714285714285,6,56,30,6,9.333333333333334,5.0,0.0,-0.4,-0.25,1.2678571428571428
79,SUD,1996,9,0,0.0,0.25,7,60,31,7,8.571428571428571,4.428571428571429,0.0,-0.6,-0.3333333333333333,1.25
83,RUS,1900,0,0,0.0,0.3600000000000001,1,4,3,2,4.0,3.0,0.0,0.0,0.0,1.25
84,RUS,1904,1,0,0.0,0.0,1,4,3,2,4.0,3.0,0.0,0.0,0.0,1.25
85,RUS,1906,1,0,0.0,0.0,1,4,3,2,4.0,3.0,0.0,0.0,0.0,1.25
86,RUS,1908,2,0,0.0,0.14285714285714285,2,10,10,5,5.0,5.0,0.0,0.5,0.5,1.2
87,RUS,1912,3,0,0.006289308176100629,0.027644298716716607,3,168,69,16,56.0,23.0,0.0,38.75,25.5,1.6547619047619047
88,RUS,1920,5,0,0.0,0.0,3,168,69,16,56.0,23.0,0.0,38.75,25.5,1.6547619047619047
89,RUS,1924,6,0,0.0,0.5555555555555556,4,171,70,16,42.75,17.5,0.0035587188612099642,-0.25,-0.9811320754716981,1.6432748538011697
90,RUS,1928,7,0,0.0,0.0,4,171,70,16,42.75,17.5,0.0035587188612099642,-0.25,-0.9811320754716981,1.6432748538011697
91,RUS,1932,8,0,0.0,0.0,4,171,70,16,42.75,17.5,0.0035587188612099642,-0.25,-0.9811320754716981,1.6432748538011697
92,RUS,1936,9,0,0.0,0.0,4,171,70,16,42.75,17.5,0.0035587188612099642,-0.25,-0.9811320754716981,1.6432748538011697
93,RUS,1948,12,0,0.0,0.0,4,171,70,16,42.75,17.5,0.0035587188612099642,-0.25,-0.9811320754716981,1.6432748538011697
94,RUS,1952,13,0,0.0,0.0,4,171,70,16,42.75,17.5,0.0035587188612099642,-0.25,-0.9811320754716981,1.6432748538011697
95,RUS,1956,14,0,0.0,0.0,4,171,70,16,42.75,17.5,0.0035587188612099642,-0.25,-0.9811320754716981,1.6432748538011697
96,RUS,1960,15,0,0.0,0.0,4,171,70,16,42.75,17.5,0.0035587188612099642,-0.25,-0.9811320754716981,1.6432748538011697
97,RUS,1964,16,0,0.0,0.0,4,171,70,16,42.75,17.5,0.0035587188612099642,-0.25,-0.9811320754716981,1.6432748538011697
98,RUS,1968,17,0,0.0,0.0,4,171,70,16,42.75,17.5,0.0035587188612099642,-0.25,-0.9811320754716981,1.6432748538011697
99,RUS,1972,18,0,0.0,0.0,4,171,70,16,42.75,17.5,0.0035587188612099642,-0.25,-0.9811320754716981,1.6432748538011697
100,RUS,1976,19,0,0.0,0.0,4,171,70,16,42.75,17.5,0.0035587188612099642,-0.25,-0.9811320754716981,1.6432748538011697
101,RUS,1980,20,0,0.0,0.0,4,171,70,16,42.75,17.5,0.0035587188612099642,-0.25,-0.9811320754716981,1.6432748538011697
102,RUS,1984,21,0,0.0,0.0,4,171,70,16,42.75,17.5,0.0035587188612099642,-0.25,-0.9811320754716981,1.6432748538011697
103,RUS,1988,22,0,0.0,0.0,4,171,70,16,42.75,17.5,0.0035587188612099642,-0.25,-0.9811320754716981,1.6432748538011697
104,RUS,1992,23,0,0.0,0.0,4,171,70,16,42.75,17.5,0.0035587188612099642,-0.25,-0.9811320754716981,1.6432748538011697
105,RUS,1996,24,1,0.002570694087403599,0.008296576349506406,5,559,252,29,111.8,50.4,0.2809123649459784,96.25,128.66666666666666,1.4901610017889089
106,ARG,1900,0,0,0.0,1.0,1,1,1,1,1.0,1.0,0.0,0.0,0.0,1.0
107,ARG,1904,1,0,0.0,0.0,1,1,1,1,1.0,1.0,0.0,0.0,0.0,1.0
108,ARG,1906,1,0,0.0,0.0,1,1,1,1,1.0,1.0,0.0,0.0,0.0,1.0
109,ARG,1908,2,0,0.0,1.0,2,2,2,2,1.0,1.0,0.0,0.0,0.0,1.0
110,ARG,1912,3,0,0.0,0.0,2,2,2,2,1.0,1.0,0.0,0.0,0.0,1.0
111,ARG,1920,5,0,0.0,1.0,3,3,3,3,1.0,1.0,0.0,0.0,0.0,1.0
112,ARG,1924,6,1,0.0,0.03610807171113545,4,80,40,12,20.0,10.0,0.0,76.0,76.0,1.4
113,CUB,1900,0,1,0.0,0.5,1,1,2,1,1.0,2.0,0.0,0.0,0.0,2.0
114,BLR,1996,0,1,0.0,0.015041516972018904,1,157,115,19,157.0,115.0,0.44015444015444016,0.0,0.0,1.6496815286624205
115,GRE,1896,0,1,0.0,0.04903214024835647,1,102,39,9,102.0,39.0,0.0,0.0,0.0,1.4509803921568627
116,CMR,1964,0,0,0.0,0.5,1,1,2,1,1.0,2.0,0.0,0.0,0.0,2.0
117,CMR,1968,1,1,0.0,0.20000000000000004,2,6,7,2,3.0,3.5,0.0,4.0,4.0,1.1666666666666667
118,TUR,1906,0,0,0.0,0.5,1,1,2,1,1.0,2.0,0.0,0.0,0.0,2.0
119,TUR,1908,0,0,0.0,0.0,1,1,2,1,1.0,2.0,0.0,0.0,0.0,2.0
120,TUR,1912,1,0,0.5,0.14285714285714285,2,2,7,1,1.0,3.5,0.0,1.0,1.0,3.5
121,TUR,1920,3,0,0.0,0.0,2,2,7,1,1.0,3.5,0.0,1.0,1.0,3.5
122,TUR,1924,4,0,0.0,0.2589792060491494,3,24,16,5,8.0,5.333333333333333,0.0,21.0,10.0,1.25
123,TUR,1928,5,0,0.3548387096774194,0.12375000000000001,4,44,24,6,11.0,6.0,0.0,30.0,0.4090909090909091,1.3863636363636365
124,TUR,1932,6,0,0.0,1.0,5,45,25,7,9.0,5.0,0.0,0.0,-0.967741935483871,1.3777777777777778
125,TUR,1936,7,1,0.08333333333333333,0.07700312174817897,6,89,42,10,14.833333333333334,7.0,0.014705882352941176,47.0,47.0,1.3595505617977528
126,CHI,1912,0,0,0.0,0.08163265306122448,1,14,16,4,14.0,16.0,0.0,0.0,0.0,2.0
127,CHI,1920,2,0,0.0,0.5,2,16,18,4,8.0,9.0,0.0,-0.8571428571428571,-0.8571428571428571,1.875
128,CHI,1924,3,0,0.0,0.10493827160493827,3,29,28,7,9.666666666666666,9.333333333333334,0.0,-0.07142857142857142,5.5,1.6551724137931034
129,CHI,1928,4,1,0.10526315789473684,0.1011342155009452,4,63,41,9,15.75,10.25,0.0,1.7142857142857142,1.9230769230769231,1.4444444444444444
130,MEX,1900,0,0,0.0,1.0,1,1,1,1,1.0,1.0,0.0,0.0,0.0,1.0
131,MEX,1904,1,0,0.0,0.0,1,1,1,1,1.0,1.0,0.0,0.0,0.0,1.0
132,MEX,1906,1,0,0.0,0.0,1,1,1,1,1.0,1.0,0.0,0.0,0.0,1.0
133,MEX,1908,2,0,0.0,0.0,1,1,1,1,1.0,1.0,0.0,0.0,0.0,1.0
134,MEX,1912,3,0,0.0,0.0,1,1,1,1,1.0,1.0,0.0,0.0,0.0,1.0
135,MEX,1920,5,0,0.0,0.0,1,1,1,1,1.0,1.0,0.0,0.0,0.0,1.0
136,MEX,1924,6,0,0.0,0.08418367346938777,2,16,16,4,8.0,8.0,0.0,14.0,14.0,1.8125
137,MEX,1928,7,0,0.03333333333333333,0.14644628099173557,3,45,27,9,15.0,9.0,0.0,29.0,1.0,1.511111111111111
138,MEX,1932,8,1,0.05555555555555555,0.0242,4,113,60,15,28.25,15.0,0.010752688172043012,71.0,1.4,1.4513274336283186
139,USA,1896,0,1,0.0,0.07544581618655692,1,14,16,3,14.0,16.0,0.0,0.0,0.0,1.9285714285714286
140,URS,1952,0,1,0.0,0.011627278135309073,1,295,141,18,295.0,141.0,0.21507760532150777,0.0,0.0,1.528813559322034
141,NCA,1968,0,0,0.0,0.0703125,1,11,15,3,11.0,15.0,0.0,0.0,0.0,1.4545454545454546
142,NCA,1972,1,0,0.375,0.10000000000000003,2,16,20,4,8.0,10.0,0.07692307692307693,-0.2727272727272727,-0.2727272727272727,1.375
143,NCA,1976,2,0,0.06666666666666667,0.07840000000000003,3,30,34,6,10.0,11.333333333333334,0.0392156862745098,0.36363636363636365,0.875,1.5666666666666667
144,NCA,1980,3,0,0.0,0.16666666666666669,4,35,38,6,8.75,9.5,0.08771929824561403,-0.5454545454545454,-0.6666666666666666,1.5142857142857142
145,NCA,1984,4,0,0.0,0.20000000000000004,5,40,40,6,8.0,8.0,0.08064516129032258,-0.5454545454545454,0.0,1.45
146,NCA,1988,5,0,0.0,0.0,5,40,40,6,8.0,8.0,0.08064516129032258,-0.5454545454545454,0.0,1.45
147,NCA,1992,6,0,0.0,0.1111111111111111,6,48,46,8,8.0,7.666666666666667,0.09859154929577464,-0.2727272727272727,0.6,1.3958333333333333
148,NCA,1996,7,0,0.04,0.5204081632653061,7,72,53,9,10.285714285714286,7.571428571428571,0.08080808080808081,1.2727272727272727,2.125,1.2916666666666667
156,HUN,1896,0,1,0.0,0.08024691358024691,1,7,14,6,7.0,14.0,0.0,0.0,0.0,2.5714285714285716
157,NGR,1952,0,0,0.0,0.20888888888888893,1,9,5,1,9.0,5.0,0.0,0.0,0.0,1.6666666666666667
158,NGR,1956,1,0,0.4,0.19387755102040813,2,15,7,1,7.5,3.5,0.0,0.1111111111111111,0.1111111111111111,1.6
159,NGR,1960,2,0,0.08333333333333333,0.12000000000000001,3,26,13,2,8.666666666666666,4.333333333333333,0.0,0.3333333333333333,0.2,1.4230769230769231
160,NGR,1964,3,1,0.2222222222222222,0.12465373961218834,4,40,16,2,10.0,4.0,0.031746031746031744,1.0,0.5,1.325
161,ALG,1964,0,0,0.0,0.14285714285714285,1,1,7,1,1.0,7.0,0.0,0.0,0.0,7.0
162,ALG,1968,1,0,0.0,0.1111111111111111,2,4,9,2,2.0,4.5,0.0,2.0,2.0,4.0
163,ALG,1972,2,0,0.0,0.22448979591836732,3,9,14,3,3.0,4.666666666666667,0.0,4.0,0.6666666666666666,2.5555555555555554
164,ALG,1976,3,0,0.0,0.0,3,9,14,3,3.0,4.666666666666667,0.0,4.0,0.6666666666666666,2.5555555555555554
165,ALG,1980,4,0,0.0,0.11413454270597129,4,63,38,10,15.75,9.5,0.0,53.0,9.8,1.3650793650793651
166,ALG,1984,5,1,0.21212121212121213,0.22681359044995406,5,89,46,10,17.8,9.2,0.0,32.0,-0.3888888888888889,1.2584269662921348
167,KUW,1968,0,0,0.0,1.0,1,2,1,1,2.0,1.0,0.0,0.0,0.0,1.0
168,KUW,1972,1,0,0.0,0.25,2,6,5,2,3.0,2.5,0.0,1.0,1.0,1.0
169,KUW,1976,2,0,0.0,0.11564625850340134,3,21,17,5,7.0,5.666666666666667,0.0,6.5,2.75,1.2857142857142858
170,KUW,1980,3,0,0.08928571428571429,0.12007128536422368,4,72,34,7,18.0,8.5,0.0,27.0,2.7333333333333334,1.25
171,KUW,1984,4,0,0.30434782608695654,0.08428720083246619,5,88,36,7,17.6,7.2,0.0,10.5,-0.5892857142857143,1.2386363636363635
172,KUW,1988,5,0,0.24,0.06055363321799308,6,107,45,9,17.833333333333332,7.5,0.0,11.5,0.08695652173913043,1.2897196261682242
173,KUW,1992,6,0,0.25,0.2783053323593863,7,131,50,11,18.714285714285715,7.142857142857143,0.0,15.0,0.28,1.2748091603053435
174,KUW,1996,7,0,0.16,0.21810699588477364,8,152,54,12,19.0,6.75,0.0,11.5,-0.21875,1.256578947368421
176,BRN,1984,0,0,0.0,0.1530612244897959,1,10,8,4,10.0,8.0,0.0,0.0,0.0,1.4
177,BRN,1988,1,0,0.2857142857142857,0.1796875,2,15,12,5,7.5,6.0,0.0,-0.3,-0.3,1.8
178,BRN,1992,2,0,0.2,0.14666666666666667,3,23,21,6,7.666666666666667,7.0,0.0,0.0,0.42857142857142855,1.7826086956521738
179,BRN,1996,3,0,0.0,0.44000000000000006,4,28,23,7,7.0,5.75,0.0,-0.5,-0.5,1.6428571428571428
184,PAK,1948,0,0,0.0,0.2086776859504133,1,32,20,6,32.0,20.0,0.0,0.0,0.0,1.34375
185,PAK,1952,1,0,0.22857142857142856,0.08804306036139947,2,59,32,7,29.5,16.0,0.0,0.09375,0.09375,1.423728813559322
186,PAK,1956,2,1,0.3018867924528302,0.05367729530523956,3,96,54,8,32.0,18.0,0.0,0.65625,0.5142857142857142,1.5520833333333333
187,IRQ,1948,0,0,0.0,0.6094674556213019,1,11,4,2,11.0,4.0,0.0,0.0,0.0,1.1818181818181819
188,IRQ,1952,1,0,0.0,0.0,1,11,4,2,11.0,4.0,0.0,0.0,0.0,1.1818181818181819
189,IRQ,1956,2,0,0.0,0.0,1,11,4,2,11.0,4.0,0.0,0.0,0.0,1.1818181818181819
190,IRQ,1960,3,1,0.0,0.056122448979591844,2,32,24,6,16.0,12.0,0.0,0.9090909090909091,0.9090909090909091,1.28125
191,UAR,1960,0,0,0.0,0.056513979773944074,1,74,34,12,74.0,34.0,0.0,0.0,0.0,1.662162162162162
192,UAR,1964,1,0,0.0,0.0,1,74,34,12,74.0,34.0,0.0,0.0,0.0,1.662162162162162
193,UAR,1968,2,0,0.0,0.0,1,74,34,12,74.0,34.0,0.0,0.0,0.0,1.662162162162162
194,UAR,1972,3,0,0.0,0.0,1,74,34,12,74.0,34.0,0.0,0.0,0.0,1.662162162162162
195,UAR,1976,4,0,0.0,0.0,1,74,34,12,74.0,34.0,0.0,0.0,0.0,1.662162162162162
196,UAR,1980,5,0,0.0,0.0,1,74,34,12,74.0,34.0,0.0,0.0,0.0,1.662162162162162
197,UAR,1984,6,0,0.0,0.0,1,74,34,12,74.0,34.0,0.0,0.0,0.0,1.662162162162162
198,UAR,1988,7,0,0.0,0.0,1,74,34,12,74.0,34.0,0.0,0.0,0.0,1.662162162162162
199,UAR,1992,8,0,0.0,0.0,1,74,34,12,74.0,34.0,0.0,0.0,0.0,1.662162162162162
200,UAR,1996,9,0,0.0,0.0,1,74,34,12,74.0,34.0,0.0,0.0,0.0,1.662162162162162
208,LIB,1948,0,0,0.0,0.1111111111111111,1,8,9,3,8.0,9.0,0.0,0.0,0.0,1.125
209,LIB,1952,1,0,0.2222222222222222,0.13580246913580246,2,15,13,4,7.5,6.5,0.0,0.125,0.125,1.0666666666666667
210,LIB,1956,2,0,0.0,0.0,2,15,13,4,7.5,6.5,0.0,0.125,0.125,1.0666666666666667
211,LIB,1960,3,0,0.0,0.09090909090909086,3,34,21,7,11.333333333333334,7.0,0.0,1.375,1.1111111111111112,1.1176470588235294
212,LIB,1964,4,0,0.6,0.40625,4,36,21,7,9.0,5.25,0.0,-0.375,-0.7368421052631579,1.1666666666666667
213,LIB,1968,5,0,0.09090909090909091,0.08444444444444445,5,46,32,9,9.2,6.4,0.0,0.375,1.2,1.2391304347826086
214,LIB,1972,6,0,0.3157894736842105,0.0601851851851852,6,59,45,10,9.833333333333334,7.5,0.020202020202020204,1.375,0.7272727272727273,1.4915254237288136
215,LIB,1976,7,0,0.0,0.25,7,62,49,10,8.857142857142858,7.0,0.019417475728155338,-0.625,-0.8421052631578947,1.4838709677419355
216,LIB,1980,8,0,0.13333333333333333,0.06925207756232686,8,75,57,10,9.375,7.125,0.01639344262295082,0.875,4.0,1.4666666666666666
217,LIB,1984,9,0,0.18181818181818182,0.06444444444444443,9,93,59,10,10.333333333333334,6.555555555555555,0.019736842105263157,1.75,0.4666666666666667,1.4516129032258065
218,LIB,1988,10,0,0.19047619047619047,0.03850156087408947,10,110,69,10,11.0,6.9,0.03278688524590164,1.625,-0.045454545454545456,1.481818181818182
219,LIB,1992,11,0,0.4166666666666667,0.07407407407407407,11,117,71,11,10.636363636363637,6.454545454545454,0.029850746268656716,0.5,-0.42857142857142855,1.4786324786324787
220,LIB,1996,12,0,0.0,1.0,12,118,72,12,9.833333333333334,6.0,0.034653465346534656,-0.875,-0.9166666666666666,1.4745762711864407
228,QAT,1984,0,0,0.0,0.3313609467455621,1,24,8,3,24.0,8.0,0.0,0.0,0.0,1.0833333333333333
229,QAT,1988,1,0,0.3,0.14792899408284027,2,31,15,4,15.5,7.5,0.0,-0.5833333333333334,-0.5833333333333334,1.1612903225806452
230,QAT,1992,2,1,0.17857142857142858,0.34888888888888886,3,54,20,4,18.0,6.666666666666667,0.0,0.16666666666666666,1.8,1.1481481481481481
231,MAS,1964,0,0,0.0,0.05166895290352079,1,61,48,10,61.0,48.0,0.07407407407407407,0.0,0.0,1.3278688524590163
232,MAS,1968,1,0,0.3870967741935484,0.26367346938775515,2,80,50,10,40.0,25.0,0.05172413793103448,-0.4918032786885246,-0.4918032786885246,1.2875
233,MAS,1972,2,0,0.1590909090909091,0.15789473684210523,3,117,58,11,39.0,19.333333333333332,0.06358381502890173,-0.2786885245901639,0.41935483870967744,1.3247863247863247
234,MAS,1976,3,0,0.391304347826087,0.4272,4,131,60,11,32.75,15.0,0.05555555555555555,-0.6229508196721312,-0.4772727272727273,1.297709923664122
235,MAS,1980,4,0,0.0,0.0,4,131,60,11,32.75,15.0,0.05555555555555555,-0.6229508196721312,-0.4772727272727273,1.297709923664122
236,MAS,1984,5,0,0.09523809523809523,0.36625514403292186,5,150,61,11,30.0,12.2,0.06666666666666667,-0.6557377049180327,-0.08695652173913043,1.3
237,MAS,1988,6,0,0.2222222222222222,0.07266435986159168,6,157,67,12,26.166666666666668,11.166666666666666,0.09504132231404959,-0.8524590163934426,-0.5714285714285714,1.3312101910828025
238,MAS,1992,7,1,0.19230769230769232,0.31555555555555553,7,178,69,13,25.428571428571427,9.857142857142858,0.08455882352941177,-0.5737704918032787,1.8888888888888888,1.297752808988764
239,GER,1896,0,1,0.0,0.07695789950203713,1,19,27,6,19.0,27.0,0.0,0.0,0.0,4.947368421052632
240,CAN,1900,0,1,0.0,0.22448979591836732,1,4,5,1,4.0,5.0,0.0,0.0,0.0,1.75
241,IRL,1924,0,0,0.0,0.07777777777777779,1,48,29,6,48.0,29.0,0.1,0.0,0.0,1.2291666666666667
242,IRL,1928,1,1,0.21052631578947367,0.07231404958677684,2,78,41,8,39.0,20.5,0.125,-0.20833333333333334,-0.20833333333333334,1.2435897435897436
243,AUS,1896,0,1,0.0,0.20000000000000004,1,1,5,2,1.0,5.0,0.0,0.0,0.0,5.0
244,RSA,1904,0,0,0.0,0.53125,1,8,2,2,8.0,2.0,0.0,0.0,0.0,1.0
245,RSA,1906,0,0,0.0,0.0,1,8,2,2,8.0,2.0,0.0,0.0,0.0,1.0
246,RSA,1908,1,1,0.0,0.10192837465564743,2,22,16,5,11.0,8.0,0.0,0.75,0.75,1.7272727272727273
249,TAN,1964,0,0,0.0,0.25,1,4,4,1,4.0,4.0,0.0,0.0,0.0,1.0
250,TAN,1968,1,0,0.0,0.20000000000000004,2,8,7,2,4.0,3.5,0.0,0.0,0.0,1.125
