,NOC,Year,duration,event,total_appearances,total_athletes,unique_events,unique_sports,athletes_per_games,events_per_games,last_HHI,last_athletes_count,last_unique_events,last_unique_sports,last_female_ratio,last_veteran_ratio,athlete_growth_rate,event_growth_rate,historical_events_per_athlete,athlete_per_event
32,CHA,2000,9,0,7,22,15,3,3.142857142857143,2.142857142857143,0.25,4,4,1,0.25,0.25,0.20833333333333334,0.22023809523809523,1.1818181818181819,1.0
33,CHA,2004,10,0,8,23,16,3,2.875,2.0,0.3333333333333333,2,3,1,0.6666666666666666,0.5,0.10714285714285712,0.15306122448979592,1.2173913043478262,0.6666666666666666
34,CHA,2008,11,0,9,23,16,3,2.5555555555555554,1.7777777777777777,1.0,1,1,1,1.0,1.0,0.031249999999999986,0.05059523809523808,1.2173913043478262,1.0
35,CHA,2012,12,0,10,24,17,3,2.4,1.7,0.5,2,2,1,0.5,0.5,0.1388888888888889,0.15608465608465608,1.2083333333333333,1.0
36,CHA,2016,13,0,11,25,18,3,2.272727272727273,1.6363636363636365,0.5,2,2,2,1.0,0.5,0.125,0.14047619047619048,1.24,1.0
37,CHA,2020,14,0,12,27,19,3,2.25,1.5833333333333333,0.5,2,2,1,0.5,0.0,0.11363636363636363,0.12770562770562768,1.2222222222222223,1.0
38,CHA,2024,15,0,13,29,22,4,2.230769230769231,1.6923076923076923,0.3333333333333333,3,3,3,0.6666666666666666,0.3333333333333333,0.14583333333333334,0.15873015873015872,1.2413793103448276,1.0
39,AZE,1996,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
40,SUD,1960,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
41,SUD,1968,2,0,1,10,10,4,10.0,10.0,0.1124260355029586,10,10,4,0.0,0.0,0.0,0.0,1.3,1.0
42,SUD,1972,3,0,2,14,15,4,7.0,7.5,0.14285714285714285,5,7,2,0.0,0.2,-0.5,-0.30000000000000004,1.4285714285714286,0.7142857142857143
43,SUD,1984,6,0,3,38,23,5,12.666666666666666,7.666666666666667,0.23413111342351708,26,15,4,0.0,0.07692307692307693,1.85,0.4214285714285714,1.2894736842105263,1.7333333333333334
44,SUD,1988,7,0,4,45,25,5,11.25,6.25,0.1111111111111111,7,9,2,0.0,0.0,0.9897435897435898,0.14761904761904757,1.288888888888889,0.7777777777777778
45,SUD,1992,8,0,5,50,27,5,10.0,5.4,0.125,8,8,2,0.0,0.375,0.778021978021978,0.08293650793650789,1.28,1.0
46,SUD,1996,9,0,6,56,30,6,9.333333333333334,5.0,0.14285714285714285,6,7,3,0.0,0.0,0.5724175824175824,0.041349206349206316,1.2678571428571428,0.8571428571428571
47,SUD,2000,10,0,7,60,31,7,8.571428571428571,4.428571428571429,0.25,4,4,2,0.0,0.0,0.42145909645909646,-0.03697089947089951,1.25,1.0
48,SUD,2004,11,0,8,62,33,8,7.75,4.125,0.3333333333333333,3,3,2,0.3333333333333333,0.3333333333333333,0.32553636839351124,-0.06740362811791387,1.2580645161290323,1.0
49,SUD,2008,12,1,9,66,34,8,7.333333333333333,3.7777777777777777,0.25,4,4,1,0.25,0.0,0.32651098901098896,-0.017311507936507972,1.2424242424242424,1.0
50,RUS,1900,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
51,RUS,1908,2,0,1,4,3,2,4.0,3.0,0.3600000000000001,4,3,2,0.0,0.0,0.0,0.0,1.25,1.3333333333333333
52,RUS,1912,3,0,2,10,10,5,5.0,5.0,0.14285714285714285,6,7,3,0.0,0.0,0.5,1.3333333333333335,1.2,0.8571428571428571
53,RUS,1924,6,0,3,168,69,16,56.0,23.0,0.027644298716716607,159,62,15,0.0,0.006289308176100629,13.0,4.595238095238096,1.6547619047619047,2.564516129032258
54,RUS,1996,24,1,4,171,70,16,42.75,17.5,0.5555555555555556,3,2,1,0.3333333333333333,0.0,8.339622641509434,2.7409114183307737,1.6432748538011697,1.5
55,ARG,1900,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
56,ARG,1908,2,0,1,1,1,1,1.0,1.0,1.0,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0
57,ARG,1920,5,0,2,2,2,2,1.0,1.0,1.0,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0
58,ARG,1924,6,1,3,3,3,3,1.0,1.0,1.0,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0
59,CUB,1900,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
60,BLR,1996,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
61,GRE,1896,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
62,CMR,1964,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
63,CMR,1968,1,1,1,1,2,1,1.0,2.0,0.5,1,2,1,0.0,0.0,0.0,0.0,2.0,0.5
64,TUR,1906,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
65,CHI,1912,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
66,CHI,1920,2,0,1,14,16,4,14.0,16.0,0.08163265306122448,14,16,4,0.0,0.0,0.0,0.0,2.0,0.875
67,CHI,1924,3,0,2,16,18,4,8.0,9.0,0.5,2,2,1,0.0,0.0,-0.8571428571428572,-0.875,1.875,1.0
68,CHI,1928,4,1,3,29,28,7,9.666666666666666,9.333333333333334,0.10493827160493827,13,12,5,0.0,0.0,2.321428571428571,2.0625,1.6551724137931034,1.0833333333333333
69,MEX,1900,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
70,MEX,1924,6,0,1,1,1,1,1.0,1.0,1.0,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0
71,MEX,1928,7,0,2,16,16,4,8.0,8.0,0.08418367346938777,15,15,3,0.0,0.0,14.0,14.0,1.8125,1.0
72,MEX,1932,8,1,3,45,27,9,15.0,9.0,0.14644628099173557,30,18,6,0.0,0.03333333333333333,7.5,7.1,1.511111111111111,1.6666666666666667
73,USA,1896,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
74,URS,1952,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
75,NCA,1968,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
76,NCA,1972,1,0,1,11,15,3,11.0,15.0,0.0703125,11,15,3,0.0,0.0,0.0,0.0,1.4545454545454546,0.7333333333333333
77,NCA,1976,2,0,2,16,20,4,8.0,10.0,0.10000000000000003,8,10,3,0.2,0.375,-0.2727272727272727,-0.33333333333333337,1.375,0.8
78,NCA,1980,3,0,3,30,34,6,10.0,11.333333333333334,0.07840000000000003,15,19,6,0.0,0.06666666666666667,0.30113636363636365,0.28333333333333327,1.5666666666666667,0.7894736842105263
79,NCA,1984,4,0,4,35,38,6,8.75,9.5,0.16666666666666669,5,6,3,0.5,0.0,-0.02146464646464648,-0.03918128654970765,1.5142857142857142,0.8333333333333334
80,NCA,1992,6,0,5,40,40,6,8.0,8.0,0.20000000000000004,5,5,2,0.0,0.0,-0.016098484848484862,-0.0710526315789474,1.45,1.0
81,NCA,1996,7,0,6,48,46,8,8.0,7.666666666666667,0.1111111111111111,8,9,6,0.2222222222222222,0.0,0.10712121212121213,0.10315789473684209,1.3958333333333333,0.8888888888888888
82,NCA,2000,8,0,7,72,53,9,10.285714285714286,7.571428571428571,0.5204081632653061,25,9,5,0.03571428571428571,0.04,0.44343434343434346,0.08596491228070174,1.2916666666666667,2.7777777777777777
83,NCA,2004,9,0,8,76,55,10,9.5,6.875,0.16666666666666669,6,6,5,0.3333333333333333,0.3333333333333333,0.27151515151515154,0.026065162907268156,1.2763157894736843,1.0
84,NCA,2008,10,0,9,81,59,10,9.0,6.555555555555555,0.16666666666666669,5,6,3,0.6666666666666666,0.0,0.21674242424242424,0.022807017543859637,1.271604938271605,0.8333333333333334
85,NCA,2012,11,0,10,86,62,10,8.6,6.2,0.14285714285714285,6,7,4,0.42857142857142855,0.16666666666666666,0.21488215488215487,0.038791423001949314,1.2674418604651163,0.8571428571428571
86,NCA,2016,12,0,11,90,65,10,8.181818181818182,5.909090909090909,0.16666666666666669,6,6,4,0.5,0.3333333333333333,0.1933939393939394,0.020626566416040094,1.2777777777777777,1.0
87,NCA,2020,13,0,12,94,66,10,7.833333333333333,5.5,0.20000000000000004,5,5,4,0.4,0.2,0.16066115702479336,0.0035999088630667545,1.2659574468085106,1.0
88,NCA,2024,14,0,13,102,74,11,7.846153846153846,5.6923076923076925,0.125,8,8,6,0.5,0.0,0.19727272727272727,0.0532999164578112,1.2450980392156863,1.0
89,HUN,1896,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
90,NGR,1952,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
91,NGR,1956,1,0,1,9,5,1,9.0,5.0,0.20888888888888893,9,5,1,0.0,0.0,0.0,0.0,1.6666666666666667,1.8
92,NGR,1960,2,0,2,15,7,1,7.5,3.5,0.19387755102040813,10,6,1,0.0,0.4,0.11111111111111116,0.19999999999999996,1.6,1.6666666666666667
93,NGR,1964,3,1,3,26,13,2,8.666666666666666,4.333333333333333,0.12000000000000001,12,12,2,0.0,0.08333333333333333,0.15555555555555556,0.6,1.4230769230769231,1.0
94,ALG,1964,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
95,ALG,1968,1,0,1,1,7,1,1.0,7.0,0.14285714285714285,1,7,1,0.0,0.0,0.0,0.0,7.0,0.14285714285714285
96,ALG,1972,2,0,2,4,9,2,2.0,4.5,0.1111111111111111,3,9,2,0.0,0.0,2.0,0.2857142857142858,4.0,0.3333333333333333
97,ALG,1980,4,0,3,9,14,3,3.0,4.666666666666667,0.22448979591836732,5,5,2,0.0,0.0,1.3333333333333335,-0.0793650793650793,2.5555555555555554,1.0
98,ALG,1984,5,1,4,63,38,10,15.75,9.5,0.11413454270597129,54,28,9,0.0,0.0,4.155555555555556,1.4804232804232804,1.3650793650793651,1.9285714285714286
99,KUW,1968,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
100,KUW,1972,1,0,1,2,1,1,2.0,1.0,1.0,2,1,1,0.0,0.0,0.0,0.0,1.0,2.0
101,KUW,1976,2,0,2,6,5,2,3.0,2.5,0.25,4,4,2,0.0,0.0,1.0,3.0,1.0,1.0
102,KUW,1980,3,0,3,21,17,5,7.0,5.666666666666667,0.11564625850340134,15,13,4,0.0,0.0,1.875,2.625,1.2857142857142858,1.1538461538461537
103,KUW,1984,4,0,4,72,34,7,18.0,8.5,0.12007128536422368,56,26,7,0.0,0.08928571428571429,2.161111111111111,2.0833333333333335,1.25,2.1538461538461537
104,KUW,1988,5,0,5,88,36,7,17.6,7.2,0.08428720083246619,23,17,5,0.0,0.30434782608695654,1.4735119047619047,1.4759615384615385,1.2386363636363635,1.3529411764705883
105,KUW,1992,6,0,6,107,45,9,17.833333333333332,7.5,0.06055363321799308,25,24,7,0.0,0.24,1.19620082815735,1.2631221719457015,1.2897196261682242,1.0416666666666667
106,KUW,1996,7,0,7,131,50,11,18.714285714285715,7.142857142857143,0.2783053323593863,32,18,7,0.0,0.25,1.043500690131125,1.0109351432880846,1.2748091603053435,1.7777777777777777
107,KUW,2000,8,1,8,152,54,12,19.0,6.75,0.21810699588477364,25,16,9,0.0,0.16,0.8631791629695356,0.8506428212310565,1.256578947368421,1.5625
108,BRN,1984,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
109,BRN,1988,1,0,1,10,8,4,10.0,8.0,0.1530612244897959,10,8,4,0.0,0.0,0.0,0.0,1.4,1.25
110,BRN,1992,2,0,2,15,12,5,7.5,6.0,0.1796875,7,7,3,0.0,0.2857142857142857,-0.30000000000000004,-0.125,1.8,1.0
111,BRN,1996,3,0,3,23,21,6,7.666666666666667,7.0,0.14666666666666667,10,10,2,0.0,0.2,0.06428571428571428,0.1517857142857143,1.7826086956521738,1.0
112,BRN,2000,4,0,4,28,23,7,7.0,5.75,0.44000000000000006,5,3,2,0.0,0.0,-0.12380952380952381,-0.13214285714285712,1.6428571428571428,1.6666666666666667
113,BRN,2004,5,0,5,32,26,7,6.4,5.2,0.25,4,4,2,0.5,0.0,-0.14285714285714285,-0.015773809523809523,1.5625,1.0
114,BRN,2008,6,0,6,42,29,7,7.0,4.833333333333333,0.10000000000000003,10,10,4,0.3,0.0,0.18571428571428572,0.2873809523809524,1.4285714285714286,1.0
115,BRN,2012,7,1,7,50,32,7,7.142857142857143,4.571428571428571,0.11111111111111113,14,11,3,0.2,0.42857142857142855,0.22142857142857142,0.2561507936507937,1.42,1.2727272727272727
116,PAK,1948,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
117,PAK,1952,1,0,1,32,20,6,32.0,20.0,0.2086776859504133,32,20,6,0.0,0.0,0.0,0.0,1.34375,1.6
118,PAK,1956,2,1,2,59,32,7,29.5,16.0,0.08804306036139947,35,25,7,0.0,0.22857142857142856,0.09375,0.25,1.423728813559322,1.4
119,IRQ,1948,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
120,IRQ,1960,3,1,1,11,4,2,11.0,4.0,0.6094674556213019,11,4,2,0.0,0.0,0.0,0.0,1.1818181818181819,2.75
121,UAR,1960,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
122,LIB,1948,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
123,LIB,1952,1,0,1,8,9,3,8.0,9.0,0.1111111111111111,8,9,3,0.0,0.0,0.0,0.0,1.125,0.8888888888888888
124,LIB,1960,3,0,2,15,13,4,7.5,6.5,0.13580246913580246,9,8,4,0.0,0.2222222222222222,0.125,-0.11111111111111116,1.0666666666666667,1.125
125,LIB,1964,4,0,3,34,21,7,11.333333333333334,7.0,0.09090909090909086,19,15,6,0.0,0.0,0.6180555555555556,0.3819444444444444,1.1176470588235294,1.2666666666666666
126,LIB,1968,5,0,4,36,21,7,9.0,5.25,0.40625,5,3,2,0.0,0.6,0.16642300194931772,-0.012037037037037068,1.1666666666666667,1.6666666666666667
127,LIB,1972,6,0,5,46,32,9,9.2,6.4,0.08444444444444445,11,13,6,0.0,0.09090909090909091,0.42481725146198834,0.8243055555555554,1.2391304347826086,0.8461538461538461
128,LIB,1976,7,0,6,59,45,10,9.833333333333334,7.5,0.0601851851851852,19,23,9,0.05555555555555555,0.3157894736842105,0.4853083466241362,0.8132905982905981,1.4915254237288136,0.8260869565217391
129,LIB,1980,8,0,7,62,49,10,8.857142857142858,7.0,0.25,3,4,3,0.0,0.0,0.2640727449937977,0.5400610058218752,1.4838709677419355,0.75
130,LIB,1984,9,0,8,75,57,10,9.375,7.125,0.06925207756232686,15,16,8,0.0,0.13333333333333333,0.7977766385661124,0.8914808621330359,1.4666666666666666,0.9375
131,LIB,1988,10,0,9,93,59,10,10.333333333333334,6.555555555555555,0.06444444444444443,22,20,9,0.03333333333333333,0.18181818181818182,0.7563878920786816,0.8112957543664064,1.4516129032258065,1.1
132,LIB,1992,11,0,10,110,69,10,11.0,6.9,0.03850156087408947,21,28,8,0.0967741935483871,0.19047619047619047,0.667294287908323,0.7655962261034723,1.481818181818182,0.75
133,LIB,1996,12,0,11,117,71,11,10.636363636363637,6.454545454545454,0.07407407407407407,12,15,7,0.0,0.4166666666666667,0.5577077162603479,0.6426080320645536,1.4786324786324787,0.8
134,LIB,2000,13,0,12,118,72,12,9.833333333333334,6.0,1.0,1,1,1,1.0,0.0,0.423673681448801,0.4993406352102003,1.4745762711864407,1.0
135,LIB,2004,14,0,13,123,75,12,9.461538461538462,5.769230769230769,0.16666666666666669,6,6,4,0.3333333333333333,0.16666666666666666,0.8050342079947344,0.8743955822760169,1.4634146341463414,1.0
136,LIB,2008,15,0,14,127,76,12,9.071428571428571,5.428571428571429,0.20000000000000004,5,5,3,0.4,0.2,0.7302879868669343,0.7943138708188874,1.4488188976377954,1.0
137,LIB,2012,16,0,15,132,78,12,8.8,5.2,0.16666666666666669,6,6,4,0.3333333333333333,0.16666666666666666,0.6924102735192961,0.7518628800461097,1.4318181818181819,1.0
138,LIB,2016,17,0,16,140,84,13,8.75,5.25,0.10000000000000003,10,10,7,0.7,0.2,0.6906940330624541,0.7461831324874804,1.4071428571428573,1.0
139,QAT,1984,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
140,QAT,1988,1,0,1,24,8,3,24.0,8.0,0.3313609467455621,24,8,3,0.0,0.0,0.0,0.0,1.0833333333333333,3.0
141,QAT,1992,2,1,2,31,15,4,15.5,7.5,0.14792899408284027,10,10,3,0.0,0.3,-0.5833333333333333,0.25,1.1612903225806452,1.0
142,MAS,1964,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
143,MAS,1968,1,0,1,61,48,10,61.0,48.0,0.05166895290352079,61,48,10,0.07407407407407407,0.0,0.0,0.0,1.3278688524590163,1.2708333333333333
144,MAS,1972,2,0,2,80,50,10,40.0,25.0,0.26367346938775515,31,14,4,0.0,0.3870967741935484,-0.4918032786885246,-0.7083333333333333,1.2875,2.2142857142857144
145,MAS,1976,3,0,3,117,58,11,39.0,19.333333333333332,0.15789473684210523,44,20,6,0.08771929824561403,0.1590909090909091,-0.036224219989423545,-0.13988095238095233,1.3247863247863247,2.2
146,MAS,1984,5,0,4,131,60,11,32.75,15.0,0.4272,23,9,5,0.0,0.391304347826087,-0.18324038908385812,-0.27658730158730155,1.297709923664122,2.5555555555555554
147,MAS,1988,6,0,5,150,61,11,30.0,12.2,0.36625514403292186,21,12,5,0.14814814814814814,0.09523809523809523,-0.15916942224767622,-0.12410714285714286,1.3,1.75
148,MAS,1992,7,1,6,157,67,12,26.166666666666668,11.166666666666666,0.07266435986159168,9,15,5,0.47058823529411764,0.2222222222222222,-0.24162125208385526,-0.04928571428571429,1.3312101910828025,0.6
149,GER,1896,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
150,CAN,1900,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
151,IRL,1924,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
152,IRL,1928,1,1,1,48,29,6,48.0,29.0,0.07777777777777779,48,29,6,0.1,0.0,0.0,0.0,1.2291666666666667,1.6551724137931034
153,AUS,1896,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
154,RSA,1904,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
155,RSA,1908,1,1,1,8,2,2,8.0,2.0,0.53125,8,2,2,0.0,0.0,0.0,0.0,1.0,4.0
156,ERI,2000,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
157,ERI,2004,1,1,1,3,3,1,3.0,3.0,0.3333333333333333,3,3,1,0.3333333333333333,0.0,0.0,0.0,1.0,1.0
158,TAN,1964,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
159,TAN,1968,1,0,1,4,4,1,4.0,4.0,0.25,4,4,1,0.0,0.0,0.0,0.0,1.0,1.0
160,TAN,1972,2,0,2,8,7,2,4.0,3.5,0.20000000000000004,4,5,2,0.0,0.0,0.0,0.25,1.125,0.8
161,TAN,1980,4,1,3,19,18,2,6.333333333333333,6.0,0.09504132231404959,15,16,2,0.0,0.26666666666666666,1.375,1.225,1.4736842105263157,0.9375
162,JOR,1980,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
163,JOR,1984,1,0,1,4,3,1,4.0,3.0,0.3333333333333333,4,3,1,0.0,0.0,0.0,0.0,1.5,1.3333333333333333
164,JOR,1988,2,0,2,16,14,3,8.0,7.0,0.09333333333333334,13,12,3,0.06666666666666667,0.07692307692307693,2.25,3.0,1.3125,1.0833333333333333
165,JOR,1992,3,0,3,23,23,7,7.666666666666667,7.666666666666667,0.1111111111111111,7,9,5,0.2222222222222222,0.0,0.8942307692307692,1.375,1.3043478260869565,0.7777777777777778
166,JOR,1996,4,0,4,27,24,7,6.75,6.0,0.20000000000000004,4,5,3,0.2,0.0,0.45329670329670324,0.7685185185185185,1.2962962962962963,0.8
167,JOR,2000,5,0,5,31,28,8,6.2,5.6,0.20000000000000004,5,5,3,0.4,0.2,0.40247252747252743,0.5763888888888888,1.2580645161290323,1.0
168,JOR,2004,6,0,6,38,32,10,6.333333333333333,5.333333333333333,0.125,8,8,6,0.5,0.125,0.441978021978022,0.5811111111111111,1.2105263157894737,1.0
169,JOR,2008,7,0,7,45,38,10,6.428571428571429,5.428571428571429,0.125,8,8,5,0.5,0.125,0.36831501831501834,0.4842592592592592,1.2,1.0
170,JOR,2012,8,0,8,48,41,10,6.0,5.125,0.14285714285714285,7,7,5,0.5714285714285714,0.5714285714285714,0.29784144427001574,0.3972222222222222,1.2083333333333333,1.0
171,JOR,2016,9,1,9,55,44,10,6.111111111111111,4.888888888888889,0.1111111111111111,9,9,5,0.4444444444444444,0.2222222222222222,0.29632554945054945,0.3832837301587302,1.1818181818181819,1.0
172,TUN,1960,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
173,TUN,1964,1,1,1,42,22,7,42.0,22.0,0.08992346938775507,42,22,7,0.0,0.0,0.0,0.0,1.3333333333333333,1.9090909090909092
174,LBA,1968,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
175,LBA,1980,3,0,1,1,1,1,1.0,1.0,1.0,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0
176,LBA,1988,5,0,2,30,21,5,15.0,10.5,0.10249307479224372,29,20,5,0.13157894736842105,0.0,28.0,19.0,1.3,1.45
177,LBA,1992,6,0,3,36,23,5,12.0,7.666666666666667,0.22448979591836732,6,5,3,0.0,0.0,13.60344827586207,9.125,1.2777777777777777,1.2
